date:1030735,lat:47.246246,long:2.358875;
date:1030755,lat:47.246246,long:2.358875;
date:1030775,lat:47.246246,long:2.358875;
date:1030795,lat:47.246246,long:2.358875;
date:1030815,lat:47.246246,long:2.358875;
date:1030835,lat:47.246246,long:2.358875;
date:1030855,lat:47.246246,long:2.358875;
date:1030875,lat:47.246246,long:2.358875;
date:1030895,lat:47.246246,long:2.358875;
date:1030915,lat:47.245560,long:2.357370;
date:1030935,lat:47.245560,long:2.357370;
date:1030955,lat:47.245560,long:2.357370;
date:1030975,lat:47.245560,long:2.357370;
date:1030995,lat:47.245560,long:2.357370;
