date:1009235,lat:47.1416397,long:2.3940783;
date:1009255,lat:47.1417656,long:2.3940892;
date:1009275,lat:47.1418953,long:2.3940964;
date:1009295,lat:47.1420364,long:2.3940802;
date:1009315,lat:47.14217,long:2.3940878;
date:1009335,lat:47.1422997,long:2.3940964;
date:1009355,lat:47.1424255,long:2.3941083;
date:1009375,lat:47.1425476,long:2.3941088;
date:1009395,lat:47.1426773,long:2.3940961;
date:1009415,lat:47.1428108,long:2.3940909;
date:1009435,lat:47.142952,long:2.3940878;
date:1009455,lat:47.1430664,long:2.3940766;
date:1009475,lat:47.1431961,long:2.3940604;
date:1009495,lat:47.1433296,long:2.3940511;
date:1009515,lat:47.1434631,long:2.3940487;
date:1009535,lat:47.1435928,long:2.3940315;
date:1009555,lat:47.1437149,long:2.3940325;
date:1009575,lat:47.1438484,long:2.3940225;
date:1009595,lat:47.1439781,long:2.3940177;
date:1009615,lat:47.1441154,long:2.3940158;
date:1009635,lat:47.144249,long:2.3940029;
date:1009655,lat:47.1443863,long:2.3940008;
date:1009675,lat:47.1445122,long:2.3940115;
date:1009695,lat:47.1446342,long:2.3939996;
date:1009715,lat:47.1447563,long:2.3939908;
date:1009735,lat:47.1448746,long:2.3939679;
date:1009755,lat:47.1450081,long:2.3939354;
date:1009775,lat:47.1451263,long:2.393903;
date:1009795,lat:47.145237,long:2.3938744;
date:1009815,lat:47.1453552,long:2.3938339;
date:1009835,lat:47.1454697,long:2.3937929;
date:1009855,lat:47.1455879,long:2.39375;
date:1009875,lat:47.1457024,long:2.3937106;
date:1009895,lat:47.1458206,long:2.3936679;
date:1009915,lat:47.1459427,long:2.3936222;
date:1009935,lat:47.1460648,long:2.3935864;
date:1009955,lat:47.1461754,long:2.393537;
date:1009975,lat:47.146286,long:2.3935063;
date:1009995,lat:47.1463966,long:2.3934615;
date:1010015,lat:47.1465073,long:2.393424;
date:1010035,lat:47.1466179,long:2.3933973;
date:1010055,lat:47.1467361,long:2.3933527;
date:1010075,lat:47.1468468,long:2.393327;
date:1010095,lat:47.1469688,long:2.3932886;
date:1010115,lat:47.1470871,long:2.3932354;
